temporada,hora,equipo,rival,condicion,goles_valencia,goles_rival,resultado_valencia,puntos,diferencia_goles,goles_descanso_valencia,goles_descanso_rival,resultado_descanso,fecha,anio,mes,dia_semana,semana_anio,temporada_id,temporada_num,franja,puntos_posibles,efectividad_puntos,resultado_num,victoria_bin,empate_bin,derrota_bin,local_bin,goles_totales,puntos_rolling_5,ventaja_descanso,remonto,remontado,partido_id,decada,competicion,jornada_num,fase_temporada
1993-1994,,Valencia,Tenerife,Visitante,0.0,1.0,D,0,-1.0,,,,1994-02-13,1994,2,Domingo,6,1993,1,,3,0.0,-1,0,0,1,0,1.0,4.0,,,,1993-1994_1994-02-13_TENERIFE_V,1990s,LaLiga,23,2
1993-1994,,Valencia,Lerida,Local,3.0,3.0,E,1,0.0,,,,1994-02-20,1994,2,Domingo,7,1993,1,,3,0.3333333333333333,0,0,1,0,1,6.0,5.0,,,,1993-1994_1994-02-20_LERIDA_L,1990s,LaLiga,24,2
1993-1994,,Valencia,Vallecano,Visitante,1.0,1.0,E,1,0.0,,,,1994-02-23,1994,2,Miércoles,8,1993,1,,3,0.3333333333333333,0,0,1,0,0,2.0,5.0,,,,1993-1994_1994-02-23_VALLECANO_V,1990s,LaLiga,25,2
1993-1994,,Valencia,Logrones,Local,3.0,1.0,V,3,2.0,,,,1994-02-27,1994,2,Domingo,8,1993,1,,3,1.0,1,1,0,0,1,4.0,8.0,,,,1993-1994_1994-02-27_LOGRONES_L,1990s,LaLiga,26,2
1993-1994,,Valencia,Ath Bilbao,Visitante,1.0,2.0,D,0,-1.0,,,,1994-03-06,1994,3,Domingo,9,1993,1,,3,0.0,-1,0,0,1,0,3.0,5.0,,,,1993-1994_1994-03-06_ATHBILBAO_V,1990s,LaLiga,27,2
1993-1994,,Valencia,Celta,Visitante,2.0,1.0,V,3,1.0,,,,1994-03-13,1994,3,Domingo,10,1993,1,,3,1.0,1,1,0,0,0,3.0,8.0,,,,1993-1994_1994-03-13_CELTA_V,1990s,LaLiga,28,2
1993-1994,,Valencia,Sp Gijon,Local,1.0,0.0,V,3,1.0,,,,1994-03-20,1994,3,Domingo,11,1993,1,,3,1.0,1,1,0,0,1,1.0,10.0,,,,1993-1994_1994-03-20_SPGIJON_L,1990s,LaLiga,29,2
1993-1994,,Valencia,Real Madrid,Visitante,2.0,3.0,D,0,-1.0,,,,1994-03-27,1994,3,Domingo,12,1993,1,,3,0.0,-1,0,0,1,0,5.0,9.0,,,,1993-1994_1994-03-27_REALMADRID_V,1990s,LaLiga,30,2
1993-1994,,Valencia,Sevilla,Local,1.0,1.0,E,1,0.0,,,,1994-04-03,1994,4,Domingo,13,1993,1,,3,0.3333333333333333,0,0,1,0,1,2.0,7.0,,,,1993-1994_1994-04-03_SEVILLA_L,1990s,LaLiga,31,2
1993-1994,,Valencia,Sociedad,Visitante,0.0,0.0,E,1,0.0,,,,1994-04-06,1994,4,Miércoles,14,1993,1,,3,0.3333333333333333,0,0,1,0,0,0.0,8.0,,,,1993-1994_1994-04-06_SOCIEDAD_V,1990s,LaLiga,32,2
1993-1994,,Valencia,Albacete,Local,4.0,0.0,V,3,4.0,,,,1994-04-10,1994,4,Domingo,14,1993,1,,3,1.0,1,1,0,0,1,4.0,8.0,,,,1993-1994_1994-04-10_ALBACETE_L,1990s,LaLiga,33,2
1993-1994,,Valencia,Barcelona,Visitante,1.0,3.0,D,0,-2.0,,,,1994-04-17,1994,4,Domingo,15,1993,1,,3,0.0,-1,0,0,1,0,4.0,5.0,,,,1993-1994_1994-04-17_BARCELONA_V,1990s,LaLiga,34,2
1993-1994,,Valencia,Zaragoza,Local,3.0,0.0,V,3,3.0,,,,1994-04-24,1994,4,Domingo,16,1993,1,,3,1.0,1,1,0,0,1,3.0,8.0,,,,1993-1994_1994-04-24_ZARAGOZA_L,1990s,LaLiga,35,2
1993-1994,,Valencia,Osasuna,Visitante,3.0,3.0,E,1,0.0,,,,1994-05-01,1994,5,Domingo,17,1993,1,,3,0.3333333333333333,0,0,1,0,0,6.0,8.0,,,,1993-1994_1994-05-01_OSASUNA_V,1990s,LaLiga,36,2
1993-1994,,Valencia,Valladolid,Local,5.0,1.0,V,3,4.0,,,,1994-05-08,1994,5,Domingo,18,1993,1,,3,1.0,1,1,0,0,1,6.0,10.0,,,,1993-1994_1994-05-08_VALLADOLID_L,1990s,LaLiga,37,2
1993-1994,,Valencia,La Coruna,Visitante,0.0,0.0,E,1,0.0,,,,1994-05-15,1994,5,Domingo,19,1993,1,,3,0.3333333333333333,0,0,1,0,0,0.0,8.0,,,,1993-1994_1994-05-15_LACORUNA_V,1990s,LaLiga,38,2
1994-1995,,Valencia,Ath Madrid,Visitante,4.0,2.0,V,3,2.0,,,,1994-09-04,1994,9,Domingo,35,1994,2,,3,1.0,1,1,0,0,0,6.0,3.0,,,,1994-1995_1994-09-04_ATHMADRID_V,1990s,LaLiga,1,1
1994-1995,,Valencia,Sevilla,Local,0.0,1.0,D,0,-1.0,,,,1994-09-11,1994,9,Domingo,36,1994,2,,3,0.0,-1,0,0,1,1,1.0,3.0,,,,1994-1995_1994-09-11_SEVILLA_L,1990s,LaLiga,2,1
